student_id,faculty_id,rank
1,1,1
1,2,2
1,3,3
1,4,4
2,1,1
2,2,2
2,3,3
2,4,4
3,1,1
3,2,2
3,3,3
3,4,4
4,1,1
4,2,2
4,3,3
4,4,4
5,1,1
5,2,2
5,3,3
5,4,4
6,1,1
6,2,2
6,3,3
6,4,4
7,1,1
7,2,2
7,3,3
7,4,4
8,2,1
8,1,2
8,3,3
8,4,4
9,2,1
9,1,2
9,3,3
9,4,4
10,2,1
10,1,2
10,3,3
10,4,4
11,2,1
11,1,2
11,3,3
11,4,4
12,2,1
12,1,2
12,3,3
12,4,4
13,2,1
13,1,2
13,3,3
13,4,4
14,2,1
14,1,2
14,3,3
14,4,4
15,3,1
15,1,2
15,2,3
15,4,4
16,3,1
16,1,2
16,2,3
16,4,4
17,3,1
17,1,2
17,2,3
17,4,4
18,3,1
18,1,2
18,2,3
18,4,4
19,4,1
19,1,2
19,2,3
19,3,4
20,4,1
20,1,2
20,2,3
20,3,4
21,4,1
21,1,2
21,2,3
21,3,4
22,4,1
22,1,2
22,2,3
22,3,4
