student_id,faculty_id,rank
1,1,1
1,2,2
1,3,3
1,4,4
2,1,1
2,2,2
2,3,3
2,4,4
3,1,1
3,2,2
3,3,3
3,4,4
4,1,1
4,2,2
4,3,3
4,4,4
5,1,1
5,2,2
5,3,3
5,4,4
6,1,1
6,2,2
6,3,3
6,4,4
7,1,1
7,2,2
7,3,3
7,4,4
8,1,1
8,2,2
8,3,3
8,4,4
9,1,1
9,2,2
9,3,3
9,4,4
10,1,1
10,2,2
10,3,3
10,4,4
11,2,1
11,1,2
11,3,3
11,4,4
12,2,1
12,1,2
12,3,3
12,4,4
13,2,1
13,1,2
13,3,3
13,4,4
14,2,1
14,1,2
14,3,3
14,4,4
15,2,1
15,1,2
15,3,3
15,4,4
16,2,1
16,1,2
16,3,3
16,4,4
17,2,1
17,1,2
17,3,3
17,4,4
18,2,1
18,1,2
18,3,3
18,4,4
19,2,1
19,1,2
19,3,3
19,4,4
20,2,1
20,1,2
20,3,3
20,4,4
21,3,1
21,1,2
21,2,3
21,4,4
22,3,1
22,1,2
22,2,3
22,4,4
23,3,1
23,1,2
23,2,3
23,4,4
24,3,1
24,1,2
24,2,3
24,4,4
25,3,1
25,1,2
25,2,3
25,4,4
26,3,1
26,1,2
26,2,3
26,4,4
27,3,1
27,1,2
27,2,3
27,4,4
28,3,1
28,1,2
28,2,3
28,4,4
29,3,1
29,1,2
29,2,3
29,4,4
30,3,1
30,1,2
30,2,3
30,4,4
31,4,1
31,1,2
31,2,3
31,3,4
32,4,1
32,1,2
32,2,3
32,3,4
33,4,1
33,1,2
33,2,3
33,3,4
34,4,1
34,1,2
34,2,3
34,3,4
35,4,1
35,1,2
35,2,3
35,3,4
36,4,1
36,1,2
36,2,3
36,3,4
37,4,1
37,1,2
37,2,3
37,3,4
38,4,1
38,1,2
38,2,3
38,3,4
39,4,1
39,1,2
39,2,3
39,3,4
40,4,1
40,1,2
40,2,3
40,3,4
