student_id,faculty_id,rank
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
2,1,1
2,2,2
2,3,3
2,4,4
2,5,5
2,6,6
2,7,7
2,8,8
2,9,9
2,10,10
3,1,1
3,2,2
3,3,3
3,4,4
3,5,5
3,6,6
3,7,7
3,8,8
3,9,9
3,10,10
4,1,1
4,2,2
4,3,3
4,4,4
4,5,5
4,6,6
4,7,7
4,8,8
4,9,9
4,10,10
5,1,1
5,2,2
5,3,3
5,4,4
5,5,5
5,6,6
5,7,7
5,8,8
5,9,9
5,10,10
6,1,1
6,2,2
6,3,3
6,4,4
6,5,5
6,6,6
6,7,7
6,8,8
6,9,9
6,10,10
7,1,1
7,2,2
7,3,3
7,4,4
7,5,5
7,6,6
7,7,7
7,8,8
7,9,9
7,10,10
8,1,1
8,2,2
8,3,3
8,4,4
8,5,5
8,6,6
8,7,7
8,8,8
8,9,9
8,10,10
9,1,1
9,2,2
9,3,3
9,4,4
9,5,5
9,6,6
9,7,7
9,8,8
9,9,9
9,10,10
10,1,1
10,2,2
10,3,3
10,4,4
10,5,5
10,6,6
10,7,7
10,8,8
10,9,9
10,10,10
11,1,1
11,2,2
11,3,3
11,4,4
11,5,5
11,6,6
11,7,7
11,8,8
11,9,9
11,10,10
12,1,1
12,2,2
12,3,3
12,4,4
12,5,5
12,6,6
12,7,7
12,8,8
12,9,9
12,10,10
13,1,1
13,2,2
13,3,3
13,4,4
13,5,5
13,6,6
13,7,7
13,8,8
13,9,9
13,10,10
14,1,1
14,2,2
14,3,3
14,4,4
14,5,5
14,6,6
14,7,7
14,8,8
14,9,9
14,10,10
15,1,1
15,2,2
15,3,3
15,4,4
15,5,5
15,6,6
15,7,7
15,8,8
15,9,9
15,10,10
16,1,1
16,2,2
16,3,3
16,4,4
16,5,5
16,6,6
16,7,7
16,8,8
16,9,9
16,10,10
17,1,1
17,2,2
17,3,3
17,4,4
17,5,5
17,6,6
17,7,7
17,8,8
17,9,9
17,10,10
18,1,1
18,2,2
18,3,3
18,4,4
18,5,5
18,6,6
18,7,7
18,8,8
18,9,9
18,10,10
19,1,1
19,2,2
19,3,3
19,4,4
19,5,5
19,6,6
19,7,7
19,8,8
19,9,9
19,10,10
20,1,1
20,2,2
20,3,3
20,4,4
20,5,5
20,6,6
20,7,7
20,8,8
20,9,9
20,10,10
21,2,1
21,1,2
21,3,3
21,4,4
21,5,5
21,6,6
21,7,7
21,8,8
21,9,9
21,10,10
22,2,1
22,1,2
22,3,3
22,4,4
22,5,5
22,6,6
22,7,7
22,8,8
22,9,9
22,10,10
23,2,1
23,1,2
23,3,3
23,4,4
23,5,5
23,6,6
23,7,7
23,8,8
23,9,9
23,10,10
24,2,1
24,1,2
24,3,3
24,4,4
24,5,5
24,6,6
24,7,7
24,8,8
24,9,9
24,10,10
25,2,1
25,1,2
25,3,3
25,4,4
25,5,5
25,6,6
25,7,7
25,8,8
25,9,9
25,10,10
26,2,1
26,1,2
26,3,3
26,4,4
26,5,5
26,6,6
26,7,7
26,8,8
26,9,9
26,10,10
27,2,1
27,1,2
27,3,3
27,4,4
27,5,5
27,6,6
27,7,7
27,8,8
27,9,9
27,10,10
28,2,1
28,1,2
28,3,3
28,4,4
28,5,5
28,6,6
28,7,7
28,8,8
28,9,9
28,10,10
29,2,1
29,1,2
29,3,3
29,4,4
29,5,5
29,6,6
29,7,7
29,8,8
29,9,9
29,10,10
30,2,1
30,1,2
30,3,3
30,4,4
30,5,5
30,6,6
30,7,7
30,8,8
30,9,9
30,10,10
31,2,1
31,1,2
31,3,3
31,4,4
31,5,5
31,6,6
31,7,7
31,8,8
31,9,9
31,10,10
32,2,1
32,1,2
32,3,3
32,4,4
32,5,5
32,6,6
32,7,7
32,8,8
32,9,9
32,10,10
33,2,1
33,1,2
33,3,3
33,4,4
33,5,5
33,6,6
33,7,7
33,8,8
33,9,9
33,10,10
34,2,1
34,1,2
34,3,3
34,4,4
34,5,5
34,6,6
34,7,7
34,8,8
34,9,9
34,10,10
35,2,1
35,1,2
35,3,3
35,4,4
35,5,5
35,6,6
35,7,7
35,8,8
35,9,9
35,10,10
36,2,1
36,1,2
36,3,3
36,4,4
36,5,5
36,6,6
36,7,7
36,8,8
36,9,9
36,10,10
37,2,1
37,1,2
37,3,3
37,4,4
37,5,5
37,6,6
37,7,7
37,8,8
37,9,9
37,10,10
38,2,1
38,1,2
38,3,3
38,4,4
38,5,5
38,6,6
38,7,7
38,8,8
38,9,9
38,10,10
39,3,1
39,1,2
39,2,3
39,4,4
39,5,5
39,6,6
39,7,7
39,8,8
39,9,9
39,10,10
40,3,1
40,1,2
40,2,3
40,4,4
40,5,5
40,6,6
40,7,7
40,8,8
40,9,9
40,10,10
41,3,1
41,1,2
41,2,3
41,4,4
41,5,5
41,6,6
41,7,7
41,8,8
41,9,9
41,10,10
42,3,1
42,1,2
42,2,3
42,4,4
42,5,5
42,6,6
42,7,7
42,8,8
42,9,9
42,10,10
43,3,1
43,1,2
43,2,3
43,4,4
43,5,5
43,6,6
43,7,7
43,8,8
43,9,9
43,10,10
44,3,1
44,1,2
44,2,3
44,4,4
44,5,5
44,6,6
44,7,7
44,8,8
44,9,9
44,10,10
45,3,1
45,1,2
45,2,3
45,4,4
45,5,5
45,6,6
45,7,7
45,8,8
45,9,9
45,10,10
46,3,1
46,1,2
46,2,3
46,4,4
46,5,5
46,6,6
46,7,7
46,8,8
46,9,9
46,10,10
47,3,1
47,1,2
47,2,3
47,4,4
47,5,5
47,6,6
47,7,7
47,8,8
47,9,9
47,10,10
48,3,1
48,1,2
48,2,3
48,4,4
48,5,5
48,6,6
48,7,7
48,8,8
48,9,9
48,10,10
49,3,1
49,1,2
49,2,3
49,4,4
49,5,5
49,6,6
49,7,7
49,8,8
49,9,9
49,10,10
50,3,1
50,1,2
50,2,3
50,4,4
50,5,5
50,6,6
50,7,7
50,8,8
50,9,9
50,10,10
51,3,1
51,1,2
51,2,3
51,4,4
51,5,5
51,6,6
51,7,7
51,8,8
51,9,9
51,10,10
52,3,1
52,1,2
52,2,3
52,4,4
52,5,5
52,6,6
52,7,7
52,8,8
52,9,9
52,10,10
53,4,1
53,1,2
53,2,3
53,3,4
53,5,5
53,6,6
53,7,7
53,8,8
53,9,9
53,10,10
54,4,1
54,1,2
54,2,3
54,3,4
54,5,5
54,6,6
54,7,7
54,8,8
54,9,9
54,10,10
55,4,1
55,1,2
55,2,3
55,3,4
55,5,5
55,6,6
55,7,7
55,8,8
55,9,9
55,10,10
56,4,1
56,1,2
56,2,3
56,3,4
56,5,5
56,6,6
56,7,7
56,8,8
56,9,9
56,10,10
57,4,1
57,1,2
57,2,3
57,3,4
57,5,5
57,6,6
57,7,7
57,8,8
57,9,9
57,10,10
58,4,1
58,1,2
58,2,3
58,3,4
58,5,5
58,6,6
58,7,7
58,8,8
58,9,9
58,10,10
59,4,1
59,1,2
59,2,3
59,3,4
59,5,5
59,6,6
59,7,7
59,8,8
59,9,9
59,10,10
60,4,1
60,1,2
60,2,3
60,3,4
60,5,5
60,6,6
60,7,7
60,8,8
60,9,9
