key,value
total_students,1000
approved_assignable,1000
faculty_count,50
expected_assigned,1000
expected_unplaced,0
expected_placed_by_preference,1000
expected_placed_randomly,0
min_score_logs,1000
expected_distribution,1:20|2:20|3:20|4:20|5:20|6:20|7:20|8:20|9:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20|23:20|24:20|25:20|26:20|27:20|28:20|29:20|30:20|31:20|32:20|33:20|34:20|35:20|36:20|37:20|38:20|39:20|40:20|41:20|42:20|43:20|44:20|45:20|46:20|47:20|48:20|49:20|50:20
require_no_cross_department,true
require_no_quota_overflow,true
max_runtime_ms,20000
